cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
0.5,-6.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-4.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-3.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-2.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-2.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-1.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-1.333,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-1.25,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-1.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.833,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.75,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.667,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.333,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.25,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.167,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.167,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.25,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.333,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.667,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.75,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,0.833,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,1.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,1.25,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,1.333,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,1.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,2.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,2.5,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,3.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,4.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,6.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
1.0,-6.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,-4.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,-3.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,-2.5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,-2.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
